"goods_nomenclature_sid","goods_nomenclature_item_id","producline_suffix","validity_start_date","validity_end_date","description","number_indents","goods_nomenclature_description_period_sid","desc_validity_start_date","desc_validity_end_date","nice_description","hs_chapter","hs_section","node","leaf","significant_digits"
94081,"0102294990","80",2012-01-01 00:00:00,,Other,6,116348,2012-01-01 00:00:00,, - - - - - - Other,"01",1,"0102294990","1",10
94082,"0102295100","10",2012-01-01 00:00:00,,Of a weight exceeding 300|kg,4,147436,2019-01-01 00:00:00,, - - - - Of a weight exceeding 300|kg,"01",1,"01022951","0",8
94083,"0102295100","20",2012-01-01 00:00:00,,Heifers (female bovines that have never calved),5,121706,2014-01-01 00:00:00,, - - - - - Heifers (female bovines that have never calved),"01",1,"01022951","0",8
94084,"0102295100","80",2012-01-01 00:00:00,,For slaughter,6,121707,2014-01-01 00:00:00,, - - - - - - For slaughter,"01",1,"01022951","0",8
94085,"0102295110","80",2012-01-01 00:00:00,,"Not yet having any permanent teeth, of a weight of not less than 320|kg but not more than 470|kg",7,116352,2012-01-01 00:00:00,," - - - - - - - Not yet having any permanent teeth, of a weight of not less than 320|kg but not more than 470|kg","01",1,"0102295110","1",10
94086,"0102295190","80",2012-01-01 00:00:00,,Other,7,116353,2012-01-01 00:00:00,, - - - - - - - Other,"01",1,"0102295190","1",10
94087,"0102295900","80",2012-01-01 00:00:00,,Other,6,121708,2014-01-01 00:00:00,, - - - - - - Other,"01",1,"01022959","0",8
94088,"0102295911","10",2012-01-01 00:00:00,,"Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed",7,116355,2012-01-01 00:00:00,," - - - - - - - Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed","01",1,"0102295911","0",10
94089,"0102295911","80",2012-01-01 00:00:00,,"Not yet having any permanent teeth, of a weight of not less than 320|kg but not more than 470|kg",8,116356,2012-01-01 00:00:00,," - - - - - - - - Not yet having any permanent teeth, of a weight of not less than 320|kg but not more than 470|kg","01",1,"0102295911","1",10
94090,"0102295919","80",2012-01-01 00:00:00,,Other,8,116357,2012-01-01 00:00:00,, - - - - - - - - Other,"01",1,"0102295919","1",10
