"measure_sid","reformat_regulation_id","regulation_id","regulation_id_full","goods_nomenclature_item_id","additional_code_type_id","additional_code_id","measure_type_id","geographical_area_id","validity_start_date","validity_end_date","effective_end_date","ordernumber","national","reduction_indicator","measure_generating_regulation_role","measure_generating_regulation_id","justification_regulation_role","justification_regulation_id","stopped_flag","geographical_area_sid","goods_nomenclature_sid","additional_code_sid","export_refund_nomenclature_sid","regulation_group_id","measure_sid","duty_expression_id","duty_amount","monetary_unit_code","measurement_unit_code","measurement_unit_qualifier_code","oid","operation","operation_date","added_by_id","added_at","national","status","workbasket_id","workbasket_sequence_number","original_duty_expression_id"
3633154,D0001/94,D940001,D9400010,"0303320000",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,28617,,,PRF,3633154,"01",4.5,,,,2030079,C,,,,,,,,
3632612,D0001/94,D940001,D9400010,"0303330000",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,28620,,,PRF,3632612,"01",2.2,,,,2029598,C,,,,,,,,
3633192,D0001/94,D940001,D9400010,"0303340000",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,94140,,,PRF,3633192,"01",4.5,,,,2030080,C,,,,,,,,
3632613,D0001/94,D940001,D9400010,"0303391000",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,28622,,,PRF,3632613,"01",2.2,,,,2029599,C,,,,,,,,
3632614,D0001/94,D940001,D9400010,"0303393000",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,57442,,,PRF,3632614,"01",2.2,,,,2029600,C,,,,,,,,
3632615,D0001/94,D940001,D9400010,"0303395000",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,94141,,,PRF,3632615,"01",2.2,,,,2029601,C,,,,,,,,
3633193,D0001/94,D940001,D9400010,"0303398500",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,94142,,,PRF,3633193,"01",4.5,,,,2030081,C,,,,,,,,
3633488,D0001/94,D940001,D9400010,"0303419000",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,28633,,,PRF,3633488,"01",6.6,,,,2030161,C,,,,,,,,
3633489,D0001/94,D940001,D9400010,"0303429000",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,28655,,,PRF,3633489,"01",6.6,,,,2030162,C,,,,,,,,
3633490,D0001/94,D940001,D9400010,"0303439000",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,28661,,,PRF,3633490,"01",6.6,,,,2030163,C,,,,,,,,
3633491,D0001/94,D940001,D9400010,"0303449000",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,72852,,,PRF,3633491,"01",6.6,,,,2030164,C,,,,,,,,
3633492,D0001/94,D940001,D9400010,"0303451800",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,94147,,,PRF,3633492,"01",6.6,,,,2030165,C,,,,,,,,
3633493,D0001/94,D940001,D9400010,"0303459900",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,94150,,,PRF,3633493,"01",6.6,,,,2030166,C,,,,,,,,
3633494,D0001/94,D940001,D9400010,"0303469000",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,72864,,,PRF,3633494,"01",6.6,,,,2030167,C,,,,,,,,
3633495,D0001/94,D940001,D9400010,"0303498500",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,94152,,,PRF,3633495,"01",6.6,,,,2030168,C,,,,,,,,
3633498,D0001/94,D940001,D9400010,"0303531000",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,94168,,,PRF,3633498,"01",6.9,,,,2030171,C,,,,,,,,
